t,q_1,q_2,q_3,q_4,P_theta_x,P_theta_y,P_theta_z,P_beta_x,P_beta_y,P_beta_z,q_true_1,q_true_2,q_true_3,q_true_4,b_x,b_y,b_z,b_true_x,b_true_y,b_true_z
0.000000000000000000e+00,1.179261631557173944e-02,3.379581579637796086e-03,4.983289633421534096e-03,9.999123358841062181e-01,1.049217642532996502e-04,1.049000005648477853e-04,5.497497152938241423e-05,1.000004999999999991e-04,1.000004999999999991e-04,1.000004999999999991e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000104e-03,-3.000000000000000062e-03,2.000000000000000042e-03
5.000000000000000278e-02,1.121880142992138889e-02,4.025362549836724105e-03,2.741263017633295725e-04,9.999289273771355679e-01,5.643887244082480863e-05,5.642417658971941706e-05,3.143787916785461016e-05,9.987899726027599484e-05,9.987896324428951545e-05,9.976288357208489390e-05,4.999980000000000223e-03,0.000000000000000000e+00,0.000000000000000000e+00,9.999875000000000291e-01,4.493833066750594013e-04,-2.583340675188763579e-05,6.692650561412458914e-04,5.000000000000000104e-03,-3.000000000000000062e-03,2.000000000000000042e-03
1.000000000000000056e-01,1.563585039411182973e-02,1.730321565522148801e-03,1.631188446750531746e-04,9.998762421229815400e-01,4.155219457874694547e-05,4.153547295428137141e-05,2.476595724521001287e-05,9.952623248278089237e-05,9.952609159414048433e-05,9.909639465976049393e-05,9.999829999999999483e-03,0.000000000000000000e+00,0.000000000000000000e+00,9.999500000000000055e-01,5.044098663853075057e-04,4.544281246281117520e-04,1.005350261987191397e-03,5.000000000000000104e-03,-3.000000000000000062e-03,2.000000000000000042e-03
1.499999999999999944e-01,2.043878540122542886e-02,2.482202464915967896e-03,2.854844502263722845e-03,9.997839489535295110e-01,3.504178154061836711e-05,3.502216870593815353e-05,2.220902553926735651e-05,9.885816232320612687e-05,9.885764662524981067e-05,9.789475279289934126e-05,1.499943999999999930e-02,0.000000000000000000e+00,0.000000000000000000e+00,9.998875000000000401e-01,2.298559398763328496e-04,3.612282669430043813e-04,-4.974438211795533665e-05,5.000000000000000104e-03,-3.000000000000000062e-03,2.000000000000000042e-03
2.000000000000000111e-01,2.393685443979928079e-02,9.043136163610533554e-04,3.300308166370837307e-03,9.997076158469627716e-01,3.182370635263147925e-05,3.179938461341737970e-05,2.117176539069145027e-05,9.782487740125308292e-05,9.782353457670789375e-05,9.614704294487730872e-05,1.999866999999999964e-02,0.000000000000000000e+00,0.000000000000000000e+00,9.998000099999999613e-01,8.112231655189586959e-04,1.524252593758169180e-03,-3.133083126325107975e-04,5.000000000000000104e-03,-3.000000000000000062e-03,2.000000000000000042e-03
2.500000000000000000e-01,2.965066089683768974e-02,-7.211257270289230447e-04,1.794693961007450466e-03,9.995584511971536967e-01,3.017596492598294885e-05,3.014407845287956337e-05,2.077823768086247251e-05,9.641388583428236471e-05,9.641136768368269042e-05,9.392083874515814762e-05,2.499739000000000128e-02,0.000000000000000000e+00,0.000000000000000000e+00,9.996875200000000516e-01,8.913116502420396743e-04,1.471441983178372465e-03,1.026338351831337621e-03,5.000000000000000104e-03,-3.000000000000000062e-03,2.000000000000000042e-03
2.999999999999999889e-01,3.186508010109122269e-02,-1.358923085490173479e-03,3.063325275438098967e-03,9.994865612085316320e-01,2.934610832507580409e-05,2.930983343406520046e-05,2.065592912361406984e-05,9.464696099149714137e-05,9.464254179009559524e-05,9.133035095685558557e-05,2.999550000000000133e-02,0.000000000000000000e+00,0.000000000000000000e+00,9.995500299999999783e-01,1.880946938857424190e-03,1.590161295560933025e-03,-3.309117793584444561e-04,5.000000000000000104e-03,-3.000000000000000062e-03,2.000000000000000042e-03
3.499999999999999778e-01,3.649624928004958913e-02,-1.588055943869271479e-03,9.232610046391357913e-05,9.993325239091834788e-01,2.895461388452105116e-05,2.891050453976185030e-05,2.064432504717427002e-05,9.257199299593385717e-05,9.256554806945423305e-05,8.850262757576182575e-05,3.499284999999999896e-02,0.000000000000000000e+00,0.000000000000000000e+00,9.993875599999999526e-01,2.127887236292238127e-03,2.710493268594845058e-04,1.953928267053911712e-03,5.000000000000000104e-03,-3.000000000000000062e-03,2.000000000000000042e-03
4.000000000000000222e-01,4.292111790187760900e-02,-1.458017803090434251e-03,7.172349255319924880e-04,9.990771428654549036e-01,2.879444704349931792e-05,2.873831419238803047e-05,2.066766611013382148e-05,9.025274857097845401e-05,9.024373714967037535e-05,8.555468623897543592e-05,3.998932999999999655e-02,0.000000000000000000e+00,0.000000000000000000e+00,9.992001099999999747e-01,1.362814853056574984e-03,-3.998922846396150456e-04,1.792441596776349995e-03,5.000000000000000104e-03,-3.000000000000000062e-03,2.000000000000000042e-03
4.500000000000000111e-01,4.898957787170437478e-02,-1.179767632845212400e-03,4.044977726709254786e-04,9.987985111071384647e-01,2.874865052978284324e-05,2.867835632663113347e-05,2.069147001559155021e-05,8.775858698228406341e-05,8.774623924127091478e-05,8.258138404583221896e-05,4.498481000000000007e-02,0.000000000000000000e+00,0.000000000000000000e+00,9.989876699999999943e-01,1.897662055218554602e-04,-1.580053321393256889e-04,2.935536142946944954e-03,5.000000000000000104e-03,-3.000000000000000062e-03,2.000000000000000042e-03
