t,y1_x,y1_y,y1_z,y2_x,y2_y,y2_z,w_x,w_y,w_z,q_true_1,q_true_2,q_true_3,q_true_4,r1_x,r1_y,r1_z,r2_x,r2_y,r2_z,sun_valid
0.000000,-0.308476,-0.693619,-0.650949,-63.835261,224.238334,20.908387,-0.000000,-0.001145,-0.000001,-0.011107,0.707020,0.585527,0.396432,0.188084,-0.901104,-0.390687,-52.873577,59.386369,220.692510,1
10.000000,-0.315418,-0.694376,-0.646803,-63.630519,225.440368,22.638913,-0.000001,-0.001145,-0.000000,-0.007757,0.704740,0.585581,0.400470,0.188086,-0.901103,-0.390687,-52.679596,60.937935,221.121112,1
20.000000,-0.324006,-0.693616,-0.643364,-62.492232,226.053878,25.297710,-0.000001,-0.001145,-0.000000,-0.004407,0.702438,0.585616,0.404495,0.188088,-0.901103,-0.390687,-52.472236,62.482437,221.552588,1
30.000000,-0.330978,-0.693754,-0.639655,-61.816249,226.668699,27.069068,-0.000000,-0.001145,-0.000001,-0.001057,0.700112,0.585631,0.408506,0.188090,-0.901103,-0.390687,-52.249705,64.022362,221.986905,1
40.000000,-0.337651,-0.694121,-0.635758,-61.592700,227.958379,29.044554,-0.000000,-0.001145,-0.000001,0.002293,0.697764,0.585628,0.412505,0.188092,-0.901102,-0.390687,-52.010317,65.560325,222.423914,1
50.000000,-0.346571,-0.693337,-0.631801,-60.210582,228.238937,31.005581,-0.000001,-0.001144,-0.000000,0.005643,0.695393,0.585605,0.416489,0.188094,-0.901102,-0.390686,-51.752507,67.099058,222.863342,1
60.000000,-0.353848,-0.692975,-0.628154,-59.502149,229.248224,33.593908,-0.000000,-0.001144,-0.000001,0.008993,0.692999,0.585563,0.420461,0.188096,-0.901102,-0.390686,-51.474838,68.641404,223.304791,1
70.000000,-0.360466,-0.692881,-0.624484,-59.131864,230.014556,35.503339,-0.000001,-0.001144,-0.000000,0.012343,0.690582,0.585502,0.424418,0.188098,-0.901101,-0.390686,-51.176011,70.190306,223.747733,1
80.000000,-0.368750,-0.692807,-0.619711,-58.253027,230.499055,37.375016,-0.000001,-0.001145,0.000000,0.015692,0.688143,0.585422,0.428362,0.188100,-0.901101,-0.390686,-50.854880,71.748797,224.191504,1
90.000000,-0.373805,-0.692936,-0.616530,-57.496400,231.396113,39.960386,-0.000001,-0.001145,-0.000000,0.019040,0.685681,0.585323,0.432291,0.188102,-0.901101,-0.390686,-50.510458,73.319990,224.635306,1
100.000000,-0.381361,-0.693672,-0.611051,-56.766936,232.457319,42.182840,-0.000001,-0.001145,-0.000000,0.022389,0.683197,0.585204,0.436207,0.188104,-0.901100,-0.390686,-50.141930,74.907059,225.078200,1
110.000000,-0.388061,-0.693725,-0.606757,-55.617140,232.203388,43.751128,-0.000000,-0.001145,-0.000000,0.025736,0.680691,0.585067,0.440108,0.188106,-0.901100,-0.390686,-49.748662,76.513233,225.519107,1
120.000000,-0.393876,-0.693673,-0.603059,-55.094087,233.126806,46.646406,-0.000000,-0.001145,-0.000001,0.029082,0.678162,0.584910,0.443994,0.188108,-0.901100,-0.390685,-49.330228,78.141808,225.956875,1
130.000000,-0.401676,-0.693071,-0.598590,-53.300728,233.810213,48.252964,-0.000001,-0.001145,-0.000001,0.032428,0.675611,0.584734,0.447866,0.188110,-0.901099,-0.390685,-48.886406,79.796110,226.390229,1
140.000000,-0.409086,-0.692312,-0.594434,-52.986366,234.177242,50.745960,-0.000001,-0.001145,-0.000001,0.035772,0.673038,0.584539,0.451724,0.188112,-0.901099,-0.390685,-48.417141,81.479420,226.817645,1
150.000000,-0.415408,-0.693602,-0.588517,-51.848706,235.263626,53.166324,-0.000000,-0.001145,-0.000001,0.039116,0.670443,0.584325,0.455567,0.188114,-0.901098,-0.390685,-47.922588,83.195011,227.237463,1
160.000000,-0.422012,-0.693298,-0.584160,-50.443704,236.144520,55.246521,-0.000001,-0.001145,-0.000001,0.042458,0.667826,0.584091,0.459395,0.188116,-0.901098,-0.390685,-47.403126,84.946126,227.647890,1
170.000000,-0.427861,-0.693707,-0.579402,-49.565704,237.197058,57.172459,-0.000001,-0.001145,-0.000001,0.045798,0.665187,0.583839,0.463207,0.188118,-0.901098,-0.390685,-46.859352,86.735963,228.047009,1
180.000000,-0.434507,-0.693748,-0.574384,-48.366119,237.571451,60.152420,0.000000,-0.001145,-0.000001,0.049137,0.662526,0.583567,0.467005,0.188120,-0.901097,-0.390684,-46.292095,88.567657,228.432775,1
190.000000,-0.441799,-0.693702,-0.568851,-47.270343,238.106992,62.473481,-0.000001,-0.001144,-0.000000,0.052475,0.659844,0.583277,0.470787,0.188122,-0.901097,-0.390684,-45.702409,90.444260,228.803030,1
